,time,value
357,0.357,1243
358,0.358,1246
359,0.359,1248
360,0.36,1250
361,0.361,1256
362,0.362,1261
363,0.363,1267
364,0.364,1275
365,0.365,1281
366,0.366,1289
367,0.367,1293
368,0.368,1297
369,0.369,1301
370,0.37,1306
371,0.371,1311
372,0.372,1316
373,0.373,1319
374,0.374,1321
375,0.375,1324
376,0.376,1324
377,0.377,1325
378,0.378,1328
379,0.379,1331
380,0.38,1333
381,0.381,1336
382,0.382,1337
383,0.383,1340
384,0.384,1342
385,0.385,1345
386,0.386,1348
387,0.387,1351
388,0.388,1354
389,0.389,1356
390,0.39,1359
391,0.391,1361
392,0.392,1367
393,0.393,1371
394,0.394,1371
395,0.395,1371
396,0.396,1371
397,0.397,1374
398,0.398,1378
399,0.399,1379
400,0.4,1382
401,0.401,1383
402,0.402,1387
403,0.403,1393
404,0.404,1395
405,0.405,1397
406,0.406,1399
407,0.40700000000000003,1401
408,0.40800000000000003,1402
409,0.40900000000000003,1405
410,0.41000000000000003,1413
411,0.41100000000000003,1417
412,0.41200000000000003,1419
413,0.41300000000000003,1421
414,0.41400000000000003,1424
415,0.41500000000000004,1425
416,0.41600000000000004,1428
417,0.417,1430
418,0.418,1432
419,0.419,1434
420,0.42,1436
421,0.421,1438
422,0.422,1441
423,0.423,1449
424,0.424,1448
425,0.425,1449
426,0.426,1452
427,0.427,1455
428,0.428,1458
429,0.429,1461
430,0.43,1467
431,0.431,1469
432,0.432,1470
433,0.433,1472
434,0.434,1475
435,0.435,1481
436,0.436,1481
437,0.437,1481
438,0.438,1485
439,0.439,1489
440,0.44,1491
441,0.441,1493
442,0.442,1496
443,0.443,1499
444,0.444,1502
445,0.445,1504
446,0.446,1507
447,0.447,1509
448,0.448,1512
449,0.449,1515
450,0.45,1515
451,0.451,1515
452,0.452,1515
453,0.453,1515
454,0.454,1518
455,0.455,1519
456,0.456,1519
457,0.457,1523
458,0.458,1527
459,0.459,1529
460,0.46,1531
461,0.461,1533
462,0.462,1535
463,0.463,1541
464,0.464,1543
465,0.465,1549
466,0.466,1555
467,0.467,1561
468,0.468,1567
469,0.46900000000000003,1663
470,0.47000000000000003,1663
471,0.47100000000000003,1663
472,0.47200000000000003,1663
473,0.47300000000000003,1663
474,0.47400000000000003,1663
475,0.47500000000000003,1663
476,0.47600000000000003,1663
477,0.47700000000000004,1667
478,0.47800000000000004,1671
479,0.47900000000000004,1679
480,0.48,1682
481,0.481,1687
482,0.482,1691
483,0.483,1694
484,0.484,1694
485,0.485,1699
486,0.486,1705
487,0.487,1710
488,0.488,1714
489,0.489,1715
490,0.49,1719
491,0.491,1721
492,0.492,1724
493,0.493,1727
494,0.494,1730
495,0.495,1734
496,0.496,1736
497,0.497,1739
498,0.498,1743
499,0.499,1747
500,0.5,1751
501,0.501,1756
502,0.502,1759
503,0.503,1765
504,0.504,1771
505,0.505,1779
506,0.506,1786
507,0.507,1789
508,0.508,1796
509,0.509,1798
510,0.51,1800
511,0.511,1805
512,0.512,1809
513,0.513,1812
514,0.514,1816
515,0.515,1819
516,0.516,1825
517,0.517,1829
518,0.518,1831
519,0.519,1835
520,0.52,1841
521,0.521,1843
522,0.522,1846
523,0.523,1849
524,0.524,1851
525,0.525,1854
526,0.526,1858
527,0.527,1859
528,0.528,1862
529,0.529,2099
530,0.53,2103
531,0.531,2105
532,0.532,2111
533,0.533,2118
534,0.534,2125
535,0.535,2133
536,0.536,2135
537,0.537,2138
538,0.538,2143
539,0.539,2149
540,0.54,2151
541,0.541,2153
542,0.542,2156
543,0.543,2159
544,0.544,2163
545,0.545,2168
546,0.546,2170
547,0.547,2173
548,0.548,2175
549,0.549,2177
550,0.55,2180
551,0.551,2184
552,0.552,2189
553,0.553,2191
554,0.554,2194
555,0.555,2196
556,0.556,2199
557,0.557,2202
558,0.558,2203
559,0.559,2539
560,0.56,2545
561,0.561,2551
562,0.562,2553
563,0.5630000000000001,2557
564,0.5640000000000001,2563
565,0.5650000000000001,2566
566,0.5660000000000001,2568
567,0.5670000000000001,2571
568,0.5680000000000001,2577
569,0.5690000000000001,2579
570,0.5700000000000001,2583
571,0.5710000000000001,2585
572,0.5720000000000001,2588
573,0.5730000000000001,2591
574,0.5740000000000001,2599
575,0.5750000000000001,2607
576,0.5760000000000001,2611
577,0.577,2613
578,0.578,2616
579,0.579,2619
580,0.58,2625
581,0.581,2627
